average_kiteable_hours,std_kiteable_hours,average_kiteable_hours_bearing,average_kiteable_hours_speed
0.0,0.0,1.868421052631579,0.7368421052631579
0.0,0.0,1.8026315789473684,1.4210526315789473
0.0,0.0,2.1842105263157894,2.3289473684210527
0.0,0.0,2.1315789473684212,4.421052631578948
0.23684210526315788,1.4406542834916847,3.1447368421052633,5.907894736842105
0.3157894736842105,1.9815632207386016,3.1578947368421053,6.565789473684211
1.0789473684210527,3.740824416224236,4.644736842105263,6.7368421052631575
1.1578947368421053,4.1391984717961625,4.473684210526316,6.657894736842105
1.3157894736842106,3.910884024158159,4.447368421052632,8.328947368421053
0.8421052631578947,3.26888292354851,4.276315789473684,8.078947368421053
2.026315789473684,4.474999806558441,7.342105263157895,7.7105263157894735
2.8026315789473686,6.772661252654915,7.618421052631579,7.328947368421052
2.6052631578947367,6.278784133405593,6.2631578947368425,6.723684210526316
4.342105263157895,7.568203276275348,9.552631578947368,5.5394736842105265
4.078947368421052,6.908734284822548,9.5,6.197368421052632
5.197368421052632,7.79679376890221,13.302631578947368,6.355263157894737
5.697368421052632,7.516682738454627,14.302631578947368,8.197368421052632
5.421052631578948,7.619682197224736,14.868421052631579,7.421052631578948
8.052631578947368,8.83756148916613,17.0,9.671052631578947
7.276315789473684,8.659644280117497,16.75,9.342105263157896
7.9868421052631575,8.510818844043262,18.973684210526315,9.223684210526315
8.302631578947368,8.774993982367265,18.473684210526315,9.276315789473685
7.723684210526316,8.534139928623723,16.710526315789473,9.947368421052632
7.092105263157895,8.434231053427684,16.82894736842105,8.618421052631579
7.868421052631579,8.734899910948814,17.355263157894736,9.75
9.394736842105264,8.170999660816522,17.736842105263158,10.776315789473685
10.421052631578947,8.876733571081584,18.68421052631579,11.355263157894736
12.210526315789474,8.888661893069592,19.94736842105263,13.0
10.539473684210526,8.716953821921853,18.06578947368421,12.078947368421053
10.447368421052632,9.058864133575561,19.44736842105263,11.223684210526315
11.342105263157896,8.612342171159378,19.263157894736842,12.210526315789474
10.078947368421053,8.60655068430091,18.18421052631579,10.894736842105264
11.618421052631579,9.126259257397903,18.789473684210527,12.157894736842104
11.828947368421053,9.329337086359036,19.80263157894737,12.118421052631579
13.263157894736842,8.997614334472855,21.763157894736842,13.368421052631579
11.921052631578947,9.537685857876935,20.69736842105263,11.986842105263158
10.486842105263158,9.08511422900211,20.776315789473685,10.671052631578947
8.907894736842104,9.367044177353847,21.5,9.105263157894736
7.144736842105263,8.291885614021162,21.44736842105263,7.25
4.7894736842105265,7.198895729415149,21.394736842105264,4.7894736842105265
