average_kiteable_hours,std_kiteable_hours,average_kiteable_hours_bearing,average_kiteable_hours_speed
0.0,0.0,0.5394736842105263,5.618421052631579
0.0,0.0,0.8289473684210527,6.894736842105263
0.0,0.0,0.39473684210526316,10.657894736842104
0.0,0.0,1.0263157894736843,12.368421052631579
0.0,0.0,0.881578947368421,12.486842105263158
0.0,0.0,0.6973684210526315,13.828947368421053
0.0,0.0,0.6842105263157895,14.118421052631579
0.07894736842105263,0.6837042661456096,1.4210526315789473,13.881578947368421
0.18421052631578946,1.484219858126692,1.9736842105263157,13.710526315789474
0.0,0.0,1.355263157894737,13.802631578947368
0.013157894736842105,0.11395071102426835,1.4078947368421053,13.973684210526315
0.05263157894736842,0.2760023284658291,1.355263157894737,14.026315789473685
0.06578947368421052,0.5697535551213416,0.9868421052631579,11.960526315789474
0.17105263157894737,1.2710144921814162,1.1710526315789473,13.013157894736842
0.3684210526315789,1.7758771388213672,2.1184210526315788,9.671052631578947
0.47368421052631576,2.613092965748717,1.763157894736842,10.578947368421053
0.6578947368421053,2.593273848261605,3.3157894736842106,10.460526315789474
0.8157894736842105,2.6393306882606558,2.9210526315789473,9.789473684210526
0.35526315789473684,1.8827747396387098,2.3157894736842106,10.486842105263158
1.1842105263157894,3.102250992237183,3.5921052631578947,9.605263157894736
0.9210526315789473,3.6228919747058184,2.5921052631578947,9.026315789473685
0.9473684210526315,3.2923145627438744,3.3552631578947367,8.657894736842104
2.1973684210526314,5.165726465551334,5.184210526315789,8.842105263157896
2.0789473684210527,5.807805903978071,5.907894736842105,7.105263157894737
1.3157894736842106,3.588030270055784,5.078947368421052,5.776315789473684
2.210526315789474,5.272360375914946,6.092105263157895,6.644736842105263
2.1710526315789473,4.643581189167236,5.592105263157895,6.4868421052631575
2.3947368421052633,5.434003436859474,5.684210526315789,7.618421052631579
1.4605263157894737,3.8540504649199385,5.026315789473684,5.7631578947368425
2.5789473684210527,5.289670067053573,4.9868421052631575,6.9868421052631575
2.6184210526315788,4.869256685041355,6.184210526315789,6.75
4.907894736842105,6.819433591966088,9.289473684210526,8.921052631578947
6.421052631578948,7.569438479303913,11.131578947368421,9.052631578947368
5.4868421052631575,6.875764878126635,12.18421052631579,7.657894736842105
5.7894736842105265,6.909786708326867,14.644736842105264,6.618421052631579
3.6973684210526314,6.1644561309641706,16.026315789473685,4.2105263157894735
2.8157894736842106,5.4039715568512765,18.473684210526315,2.8421052631578947
2.9210526315789473,5.928883710266339,21.06578947368421,2.9210526315789473
1.486842105263158,4.363404697482995,20.894736842105264,1.486842105263158
0.9868421052631579,4.244170680420731,19.394736842105264,0.9868421052631579
