Year;Month;Day;Hour(utc);301;365
2008;5;1;0;5.774857;238.43874
2008;5;1;6;4.260686;236.81361
2008;5;1;12;5.246092;257.41025
2008;5;1;18;6.6073227;275.18246
2008;5;2;0;3.5378563;329.94458
2008;5;2;6;3.712785;76.47211
2008;5;2;12;7.2177553;96.49208
2008;5;2;18;6.8732715;110.62927
2008;5;3;0;9.064555;107.52652
2008;5;3;6;9.880491;116.577255
2008;5;3;12;9.8581;132.36984
2008;5;3;18;9.683538;144.63327
2008;5;4;0;9.624798;152.70882
2008;5;4;6;7.6433735;153.90967
2008;5;4;12;6.045149;154.05554
2008;5;4;18;6.0906963;129.87679
2008;5;5;0;7.596449;112.15567
2008;5;5;6;9.587735;109.184616
2008;5;5;12;10.577381;113.355515
2008;5;5;18;9.221157;129.9044
2008;5;6;0;8.111331;135.34218
2008;5;6;6;8.03467;136.77826
2008;5;6;12;7.5064497;143.76007
2008;5;6;18;5.781439;137.69678
2008;5;7;0;6.833356;118.440216
2008;5;7;6;6.348866;110.161545
2008;5;7;12;4.381636;118.57947
2008;5;7;18;2.9903913;140.71318
2008;5;8;0;4.0987854;127.2955
2008;5;8;6;4.455347;165.1781
2008;5;8;12;3.219199;178.14204
2008;5;8;18;4.0478783;207.10104
2008;5;9;0;4.7863717;198.2115
2008;5;9;6;5.0028105;219.02106
2008;5;9;12;3.259362;247.58904
2008;5;9;18;4.3377013;88.18515
2008;5;10;0;10.067918;103.54289
2008;5;10;6;11.158861;105.46367
2008;5;10;12;10.436219;110.68849
2008;5;10;18;8.2175255;119.78693
2008;5;11;0;9.149213;112.921555
2008;5;11;6;8.592746;128.94952
2008;5;11;12;8.651691;121.8737
2008;5;11;18;10.021127;134.57967
2008;5;12;0;11.474375;149.83069
2008;5;12;6;9.566065;156.80139
2008;5;12;12;8.577877;162.11926
2008;5;12;18;7.0658417;159.8977
2008;5;13;0;7.9708467;145.47174
2008;5;13;6;8.470633;155.59442
2008;5;13;12;7.82856;157.12987
2008;5;13;18;5.9658217;167.95288
2008;5;14;0;6.451888;148.71867
2008;5;14;6;7.678303;148.87958
2008;5;14;12;7.1243343;141.07092
2008;5;14;18;7.3672037;142.61111
2008;5;15;0;6.4494677;143.7745
2008;5;15;6;5.4266815;139.75679
2008;5;15;12;3.2172341;184.05173
2008;5;15;18;4.8817787;280.54477
2008;5;16;0;2.3254225;28.235596
2008;5;16;6;3.3228734;74.01514
2008;5;16;12;3.2400262;25.558655
2008;5;16;18;4.3359404;313.8107
2008;5;17;0;1.8941922;79.180725
2008;5;17;6;3.3416762;145.23228
2008;5;17;12;5.4281435;140.18231
