Year;Month;Day;Hour(utc);301;365
1975;5;1;0;7.305243;261.32697
1975;5;1;6;8.983702;275.84412
1975;5;1;12;8.023872;284.8091
1975;5;1;18;4.4429;330.91052
1975;5;2;0;4.3891716;122.54483
1975;5;2;6;7.8302574;149.319
1975;5;2;12;8.954049;149.8914
1975;5;2;18;6.9508324;129.60219
1975;5;3;0;6.571506;82.55405
1975;5;3;6;7.6546555;81.2431
1975;5;3;12;3.317086;46.931335
1975;5;3;18;3.1133852;236.01062
1975;5;4;0;3.6399512;223.35503
1975;5;4;6;4.479851;112.35344
1975;5;4;12;7.975746;111.19188
1975;5;4;18;10.103905;111.97159
1975;5;5;0;12.123656;100.96178
1975;5;5;6;10.587543;101.88808
1975;5;5;12;6.693056;94.859634
1975;5;5;18;4.710831;1.7334595
1975;5;6;0;10.908134;316.70126
1975;5;6;6;9.478822;319.83414
1975;5;6;12;11.221307;325.85614
1975;5;6;18;9.120549;323.46918
1975;5;7;0;6.2006836;303.07736
1975;5;7;6;6.188371;285.8624
1975;5;7;12;6.2321625;294.14212
1975;5;7;18;5.9558463;306.81708
1975;5;8;0;6.74722;314.88022
1975;5;8;6;7.2994695;316.9742
1975;5;8;12;7.645238;309.89655
1975;5;8;18;8.1275;309.69186
1975;5;9;0;7.1126394;289.64532
1975;5;9;6;6.002686;276.42105
1975;5;9;12;5.0298886;259.54617
1975;5;9;18;4.6579285;259.1216
1975;5;10;0;7.0231957;251.99579
1975;5;10;6;6.1422276;236.47939
1975;5;10;12;2.3969567;220.8893
1975;5;10;18;4.099933;140.39406
1975;5;11;0;3.3160315;181.11557
1975;5;11;6;5.2572775;202.08165
1975;5;11;12;6.1164865;185.21832
1975;5;11;18;4.623002;205.8628
1975;5;12;0;4.2438946;262.44153
1975;5;12;6;5.6045976;268.84818
1975;5;12;12;7.3634033;288.96982
1975;5;12;18;5.1766844;275.9613
1975;5;13;0;5.051919;247.8267
1975;5;13;6;3.3753943;206.45944
1975;5;13;12;3.4342139;209.66931
1975;5;13;18;8.1689205;258.0586
1975;5;14;0;4.631023;214.43115
1975;5;14;6;5.091432;208.01093
1975;5;14;12;7.441099;141.35526
1975;5;14;18;7.332043;120.12131
1975;5;15;0;5.2944107;115.09241
1975;5;15;6;3.4710984;113.65401
1975;5;15;12;0.38131595;344.2396
1975;5;15;18;5.2743745;335.24817
1975;5;16;0;8.016534;320.12958
1975;5;16;6;11.037295;314.44058
1975;5;16;12;12.687182;320.12955
1975;5;16;18;8.81864;326.56064
1975;5;17;0;4.758955;287.82516
1975;5;17;6;5.133652;237.43977
1975;5;17;12;2.6836812;204.52934
1975;5;17;18;4.908095;164.8174
1975;5;18;0;3.706112;234.54782
1975;5;18;6;3.990695;234.58762
1975;5;18;12;2.2564228;203.74442
1975;5;18;18;5.0204353;215.23634
1975;5;19;0;6.4890003;256.80396
1975;5;19;6;5.532012;255.03607
1975;5;19;12;3.093711;254.25449
1975;5;19;18;3.7100885;192.9938
1975;5;20;0;4.8728657;204.48962
1975;5;20;6;5.2465315;162.31369
1975;5;20;12;6.6186604;146.46916
1975;5;20;18;8.646314;134.18538
1975;5;21;0;6.9372687;131.01378
1975;5;21;6;6.9439716;142.56009
1975;5;21;12;5.8885303;136.10844
1975;5;21;18;6.3097844;88.58362
1975;5;22;0;7.37073;105.619
1975;5;22;6;4.2806253;91.471344
1975;5;22;12;5.287004;131.41805
1975;5;22;18;5.78851;123.83823
1975;5;23;0;3.6596525;114.27792
1975;5;23;6;4.1549215;77.07556
1975;5;23;12;6.544473;81.37338
1975;5;23;18;6.587309;102.67508
1975;5;24;0;3.942437;153.31155
1975;5;24;6;5.0379906;202.95209
1975;5;24;12;2.5567908;141.89427
1975;5;24;18;8.177048;107.81036
1975;5;25;0;8.71602;90.993484
1975;5;25;6;9.51968;101.27452
1975;5;25;12;11.166055;106.760025
1975;5;25;18;9.74654;111.1882
1975;5;26;0;6.612354;104.62068
1975;5;26;6;4.304516;92.51944
1975;5;26;12;10.506947;99.10808
1975;5;26;18;14.134733;101.90517
1975;5;27;0;13.1081;102.97586
1975;5;27;6;13.284699;111.114624
1975;5;27;12;11.486013;111.73511
1975;5;27;18;10.774649;90.225525
1975;5;28;0;13.084336;94.658905
1975;5;28;6;12.272728;106.57059
1975;5;28;12;11.081456;99.42354
1975;5;28;18;7.3591566;108.174286
1975;5;29;0;5.111463;98.30025
1975;5;29;6;5.471384;105.270355
1975;5;29;12;3.3311045;77.19568
1975;5;29;18;4.2698665;67.60849
1975;5;30;0;4.108939;105.4482
1975;5;30;6;5.2824187;129.41325
1975;5;30;12;4.952151;146.37506
1975;5;30;18;2.7474577;117.92111
1975;5;31;0;2.7684834;211.58089
1975;5;31;6;4.376318;258.09485
1975;5;31;12;3.6111798;244.5952
1975;5;31;18;4.4071507;254.80646
1975;6;1;0;5.921826;251.62144
1975;6;1;6;6.617686;253.68314
1975;6;1;12;5.024795;268.70663
1975;6;1;18;6.604925;283.94116
1975;6;2;0;7.381982;289.82898
1975;6;2;6;6.1875277;289.52905
1975;6;2;12;5.402373;304.23413
1975;6;2;18;2.4325097;327.62335
1975;6;3;0;1.4759351;314.4935
1975;6;3;6;1.6278433;18.47757
1975;6;3;12;1.6206048;68.725586
1975;6;3;18;2.863086;52.871582
1975;6;4;0;2.4487822;0.2645874
1975;6;4;6;3.8878791;341.09406
1975;6;4;12;4.2574267;352.51315
1975;6;4;18;3.7965026;11.823059
1975;6;5;0;4.6905003;359.4496
1975;6;5;6;3.9683871;356.06125
1975;6;5;12;4.010583;323.39426
1975;6;5;18;3.6947165;330.10135
1975;6;6;0;3.564084;345.11908
1975;6;6;6;1.6176295;121.60501
1975;6;6;12;0.42189908;263.7076
1975;6;6;18;3.1358607;306.77527
1975;6;7;0;6.0398197;327.53436
1975;6;7;6;5.7234926;342.48645
1975;6;7;12;4.066619;339.96048
1975;6;7;18;3.1973965;123.68318
1975;6;8;0;4.4316106;160.2229
1975;6;8;6;4.3297253;187.86157
1975;6;8;12;1.3417239;141.9048
1975;6;8;18;2.834623;76.3064
1975;6;9;0;3.9177604;100.79639
1975;6;9;6;4.9016223;103.51764
1975;6;9;12;4.612714;104.030655
1975;6;9;18;6.292448;85.59595
1975;6;10;0;6.92961;84.751465
1975;6;10;6;5.1432004;74.38019
1975;6;10;12;5.8323483;45.271667
1975;6;10;18;6.3955092;81.53818
1975;6;11;0;3.0516324;82.01123
1975;6;11;6;3.0508564;54.35913
1975;6;11;12;0.93189925;28.695312
1975;6;11;18;1.4162947;205.0364
1975;6;12;0;4.3476954;253.51656
1975;6;12;6;3.1480117;227.06563
1975;6;12;12;3.6572118;173.26633
1975;6;12;18;4.3670444;163.95197
1975;6;13;0;3.0227916;161.00117
1975;6;13;6;0.51558316;192.77309
1975;6;13;12;0.9055139;356.59467
1975;6;13;18;3.3244278;331.87155
1975;6;14;0;5.551744;326.21033
1975;6;14;6;4.4511466;319.1915
1975;6;14;12;4.067879;349.75177
1975;6;14;18;3.4806702;26.535156
1975;6;15;0;3.385413;40.836304
1975;6;15;6;1.8594241;333.00085
1975;6;15;12;2.4197578;40.231323
1975;6;15;18;2.030918;28.397095
1975;6;16;0;2.2091904;335.15472
1975;6;16;6;5.800201;302.46204
1975;6;16;12;8.472431;328.65353
1975;6;16;18;7.170927;348.8213
1975;6;17;0;5.3383183;355.51923
1975;6;17;6;5.359298;325.22763
1975;6;17;12;5.138787;321.75613
1975;6;17;18;4.5874586;299.9182
1975;6;18;0;5.9696755;283.00024
1975;6;18;6;4.8601575;274.32755
1975;6;18;12;2.9497714;103.76633
1975;6;18;18;6.6299753;125.05875
1975;6;19;0;6.37749;116.87839
1975;6;19;6;4.3920302;95.66023
1975;6;19;12;7.6716447;97.55711
1975;6;19;18;7.2798467;101.033005
1975;6;20;0;3.9614756;116.64679
1975;6;20;6;3.051768;247.90616
1975;6;20;12;2.1751018;262.25677
1975;6;20;18;0.6171927;255.15205
1975;6;21;0;2.8523777;172.96161
1975;6;21;6;3.4391;166.73412
1975;6;21;12;7.919931;100.12872
1975;6;21;18;9.378336;102.563446
1975;6;22;0;6.7475863;71.484314
1975;6;22;6;5.811535;73.12628
1975;6;22;12;8.915755;64.160095
1975;6;22;18;4.800459;81.47125
1975;6;23;0;3.2153676;34.849915
1975;6;23;6;3.6762972;261.35635
1975;6;23;12;3.383558;226.5964
1975;6;23;18;7.5920973;157.58728
1975;6;24;0;4.4217076;223.4581
1975;6;24;6;6.31536;262.77322
1975;6;24;12;5.513065;269.90097
1975;6;24;18;4.6548076;285.44177
1975;6;25;0;2.3762376;207.89865
1975;6;25;6;5.8966775;172.8985
1975;6;25;12;10.051193;172.99289
1975;6;25;18;9.96299;152.0057
1975;6;26;0;7.8991156;138.83658
1975;6;26;6;7.2398357;115.29826
1975;6;26;12;9.530572;100.29509
1975;6;26;18;9.00852;108.92316
1975;6;27;0;7.4637494;98.56323
1975;6;27;6;8.016049;101.86415
1975;6;27;12;7.8108997;112.115555
1975;6;27;18;2.8285625;174.78976
1975;6;28;0;0.2945995;111.968216
1975;6;28;6;6.3887444;106.10864
1975;6;28;12;7.127923;76.872406
1975;6;28;18;6.5629005;57.96698
1975;6;29;0;5.965879;322.26227
1975;6;29;6;11.543874;302.62955
1975;6;29;12;15.529282;303.77692
1975;6;29;18;14.606801;314.43262
1975;6;30;0;12.344627;311.59012
1975;6;30;6;10.921772;311.74304
1975;6;30;12;12.305833;314.22296
1975;6;30;18;13.797031;317.11206
1975;7;1;0;12.950297;311.5725
1975;7;1;6;8.637462;299.75763
1975;7;1;12;9.059611;278.11554
1975;7;1;18;7.737342;269.23303
1975;7;2;0;7.9645314;262.10086
1975;7;2;6;10.030287;254.00357
1975;7;2;12;12.797603;242.68346
1975;7;2;18;10.766089;239.84491
1975;7;3;0;8.748115;228.37373
1975;7;3;6;12.617733;215.72195
1975;7;3;12;9.218779;241.5928
1975;7;3;18;7.7182355;253.27846
1975;7;4;0;7.108134;252.14035
1975;7;4;6;9.290081;253.32648
1975;7;4;12;8.501881;251.2631
1975;7;4;18;5.785193;261.9022
1975;7;5;0;4.6408796;263.53436
1975;7;5;6;1.6690542;243.25113
1975;7;5;12;6.5181756;99.933914
1975;7;5;18;5.6839786;129.51042
1975;7;6;0;6.212605;278.69113
1975;7;6;6;7.568883;308.3494
1975;7;6;12;6.547137;328.45767
1975;7;6;18;4.934595;334.02527
1975;7;7;0;3.7098086;299.4958
1975;7;7;6;4.496933;274.839
1975;7;7;12;1.6729909;186.88358
1975;7;7;18;3.2280042;122.80586
1975;7;8;0;2.4794633;162.38887
1975;7;8;6;0.129836;306.59747
1975;7;8;12;2.9096384;303.06848
1975;7;8;18;6.0332713;317.21765
1975;7;9;0;6.6014705;314.39972
1975;7;9;6;6.5779347;311.94937
1975;7;9;12;4.673226;308.29605
1975;7;9;18;4.978588;290.96655
1975;7;10;0;6.4116735;271.9663
1975;7;10;6;7.911038;277.61148
1975;7;10;12;6.993156;290.93338
1975;7;10;18;6.982318;295.75037
1975;7;11;0;7.225714;299.49875
1975;7;11;6;5.2078123;278.02484
1975;7;11;12;5.1518707;266.01086
1975;7;11;18;4.7759047;224.27328
1975;7;12;0;9.188651;261.00497
1975;7;12;6;8.848148;287.5552
1975;7;12;12;7.077087;281.581
1975;7;12;18;7.3844137;294.8739
1975;7;13;0;5.789389;276.65918
1975;7;13;6;3.2289896;265.0427
1975;7;13;12;3.0654922;162.6705
1975;7;13;18;4.6410728;164.97107
1975;7;14;0;4.0003414;282.93414
1975;7;14;6;4.3611755;279.64368
1975;7;14;12;0.7405586;228.45306
1975;7;14;18;4.6460233;264.15955
1975;7;15;0;3.7152092;297.22775
1975;7;15;6;1.9766556;240.41533
1975;7;15;12;5.9000454;174.74188
1975;7;15;18;13.887425;147.36575
1975;7;16;0;4.858259;146.51498
1975;7;16;6;8.1220045;317.55713
