Year;Month;Day;Hour(utc);301;365
2008;5;1;0;6.003467;250.67116
2008;5;1;6;4.4432135;270.15988
2008;5;1;12;5.7841907;286.85828
2008;5;1;18;8.306929;292.8718
2008;5;2;0;7.2573743;312.17493
2008;5;2;6;4.2579517;9.452393
2008;5;2;12;5.1952763;61.56372
2008;5;2;18;5.640318;92.349075
2008;5;3;0;7.4407587;100.40036
2008;5;3;6;8.710737;117.023895
2008;5;3;12;8.221084;125.645584
2008;5;3;18;6.5271473;137.83179
2008;5;4;0;6.9434485;146.5729
2008;5;4;6;6.248717;149.3659
2008;5;4;12;4.3981676;146.69469
2008;5;4;18;4.4552875;113.98088
2008;5;5;0;6.1096845;96.38057
2008;5;5;6;8.008242;97.20694
2008;5;5;12;8.872077;103.913025
2008;5;5;18;6.4561777;126.0733
2008;5;6;0;6.010454;124.805725
2008;5;6;6;5.7678943;127.17993
2008;5;6;12;3.7895336;142.9638
2008;5;6;18;3.0121236;108.11969
2008;5;7;0;5.712114;92.650665
2008;5;7;6;5.7298975;101.507095
2008;5;7;12;3.3090765;105.08852
2008;5;7;18;2.6188068;133.96893
2008;5;8;0;1.7796378;146.75945
2008;5;8;6;4.8353863;199.51923
2008;5;8;12;3.955053;224.48898
2008;5;8;18;4.532309;234.74535
2008;5;9;0;4.799511;237.0903
2008;5;9;6;4.5327163;242.53975
2008;5;9;12;4.037202;266.49603
2008;5;9;18;3.782915;66.48477
2008;5;10;0;8.2490635;86.09311
2008;5;10;6;10.186955;96.6535
2008;5;10;12;8.756083;105.554214
2008;5;10;18;6.4680195;113.81705
2008;5;11;0;7.9378858;107.68251
2008;5;11;6;7.686205;120.675
2008;5;11;12;10.0981455;115.8219
2008;5;11;18;11.639196;135.33905
2008;5;12;0;10.553501;151.6607
2008;5;12;6;10.154548;158.155
2008;5;12;12;9.8371725;161.73181
2008;5;12;18;9.123254;162.38693
2008;5;13;0;8.862091;155.91217
2008;5;13;6;8.902477;164.08844
2008;5;13;12;8.9186735;168.71487
2008;5;13;18;7.2799845;173.91074
2008;5;14;0;6.7824645;165.22592
2008;5;14;6;5.966378;156.27155
2008;5;14;12;6.6518197;140.02878
2008;5;14;18;5.575902;161.1561
2008;5;15;0;5.2914596;149.4519
2008;5;15;6;5.2836514;146.14948
2008;5;15;12;4.8619695;169.43356
2008;5;15;18;3.7153292;300.62488
2008;5;16;0;3.4439783;341.78876
2008;5;16;6;1.7762967;335.4863
2008;5;16;12;6.6963053;352.04974
2008;5;16;18;6.418391;334.34753
2008;5;17;0;4.5822377;334.0385
2008;5;17;6;1.4024066;340.78595
2008;5;17;12;1.5280839;63.87195
2008;5;17;18;1.3151209;180.2312
2008;5;18;0;4.045033;169.93857
2008;5;18;6;4.249161;203.9596
2008;5;18;12;4.6179876;249.61539
2008;5;18;18;7.1103277;270.94577
2008;5;19;0;5.30294;268.68048
2008;5;19;6;6.5255456;264.48227
2008;5;19;12;7.410818;266.96158
2008;5;19;18;6.7150464;268.59885
2008;5;20;0;4.9128084;258.2674
2008;5;20;6;7.9409;264.8832
2008;5;20;12;8.056648;260.42892
2008;5;20;18;6.8546467;270.66748
2008;5;21;0;5.8988338;254.18668
2008;5;21;6;6.403596;242.57967
2008;5;21;12;6.937995;237.0502
2008;5;21;18;5.07881;254.577
2008;5;22;0;0.47449696;100.26218
2008;5;22;6;2.3940034;25.306427
2008;5;22;12;5.305876;336.17056
2008;5;22;18;4.900572;353.60345
2008;5;23;0;4.896276;59.370483
2008;5;23;6;5.2218246;93.39462
2008;5;23;12;5.131079;138.84229
2008;5;23;18;8.0765915;167.80402
2008;5;24;0;7.4327497;164.28255
2008;5;24;6;9.647886;157.97772
2008;5;24;12;9.4699335;171.24864
2008;5;24;18;7.438017;171.39612
2008;5;25;0;10.129887;144.41223
2008;5;25;6;12.946584;143.77946
2008;5;25;12;14.570231;142.19467
2008;5;25;18;14.398783;150.94962
2008;5;26;0;12.054805;147.51176
2008;5;26;6;11.086456;141.57826
2008;5;26;12;11.791385;159.24753
2008;5;26;18;10.004749;173.27286
2008;5;27;0;6.7492456;156.07132
2008;5;27;6;7.157477;149.37405
2008;5;27;12;8.211445;151.34222
2008;5;27;18;8.546713;166.48831
2008;5;28;0;9.968999;138.86783
2008;5;28;6;9.745786;159.46478
2008;5;28;12;11.947577;149.9372
2008;5;28;18;14.588354;143.77075
2008;5;29;0;16.568071;136.21379
2008;5;29;6;20.095028;133.11565
2008;5;29;12;24.821508;126.49657
2008;5;29;18;27.456617;137.3226
2008;5;30;0;20.235992;132.4166
2008;5;30;6;16.321352;125.17912
2008;5;30;12;13.445819;152.93448
2008;5;30;18;4.972148;257.09424
2008;5;31;0;1.4100709;258.73645
2008;5;31;6;2.4044197;53.656555
2008;5;31;12;4.264831;94.59871
2008;5;31;18;2.3189056;176.36469
2008;6;1;0;4.7918653;133.29105
2008;6;1;6;5.705781;144.02748
2008;6;1;12;6.2693872;134.63818
2008;6;1;18;3.0085225;166.51987
2008;6;2;0;3.7500422;97.434616
2008;6;2;6;4.1723986;111.09369
2008;6;2;12;2.088449;160.33923
2008;6;2;18;3.4477863;186.91803
2008;6;3;0;5.645456;138.79095
2008;6;3;6;5.8093596;130.47037
