Year;Month;Day;Hour(utc);301;365
2008;5;1;0;7.375259;325.77386
2008;5;1;6;10.349403;328.13934
2008;5;1;12;13.283911;339.9626
2008;5;1;18;13.594423;339.91763
2008;5;2;0;13.280628;339.28122
2008;5;2;6;15.461826;348.87927
2008;5;2;12;11.083486;4.2667236
2008;5;2;18;3.3850968;315.33923
2008;5;3;0;4.95569;343.11093
2008;5;3;6;5.571615;327.24927
2008;5;3;12;3.4012496;341.85828
2008;5;3;18;1.9102705;346.93906
2008;5;4;0;4.768492;331.4275
2008;5;4;6;6.354681;322.1376
2008;5;4;12;7.3358183;332.87897
2008;5;4;18;7.095007;339.14935
2008;5;5;0;7.5133414;340.50674
2008;5;5;6;6.2411146;329.7515
2008;5;5;12;4.424437;330.81335
2008;5;5;18;2.7000992;341.0123
2008;5;6;0;4.529475;319.66272
2008;5;6;6;6.176845;321.8417
2008;5;6;12;6.010294;319.20868
2008;5;6;18;7.467603;339.8202
2008;5;7;0;6.4213305;335.65402
2008;5;7;6;7.276116;323.76172
2008;5;7;12;5.356562;319.98257
2008;5;7;18;4.097399;312.7769
2008;5;8;0;5.2952566;310.57715
2008;5;8;6;2.91147;260.96823
2008;5;8;12;4.9731727;212.7059
2008;5;8;18;6.550157;213.07994
2008;5;9;0;5.2357225;231.5108
2008;5;9;6;3.4987888;303.1921
2008;5;9;12;3.8057647;13.777161
2008;5;9;18;1.4846846;30.620178
2008;5;10;0;4.175942;350.5204
2008;5;10;6;6.0023694;330.3194
2008;5;10;12;4.7230816;336.40952
2008;5;10;18;2.241414;357.90295
2008;5;11;0;4.138571;8.173767
2008;5;11;6;5.2631397;47.748566
2008;5;11;12;4.067397;58.03235
2008;5;11;18;3.1294174;55.793488
2008;5;12;0;1.9771067;350.42682
2008;5;12;6;1.5230628;8.564819
2008;5;12;12;1.959044;24.293732
2008;5;12;18;1.6127368;73.163574
2008;5;13;0;2.9318743;96.34621
2008;5;13;6;2.8340018;96.025635
2008;5;13;12;2.543845;93.37846
2008;5;13;18;2.0040267;101.68919
2008;5;14;0;2.3648767;350.5118
2008;5;14;6;4.09776;323.8867
2008;5;14;12;3.8913667;330.18024
2008;5;14;18;2.389034;316.67316
2008;5;15;0;3.592436;323.39188
2008;5;15;6;2.4953094;318.18985
2008;5;15;12;1.0853068;343.93195
2008;5;15;18;2.8514228;147.24109
2008;5;16;0;2.5135698;203.91727
2008;5;16;6;1.3446164;209.60431
2008;5;16;12;0.72057253;91.517456
2008;5;16;18;2.5354254;144.17612
2008;5;17;0;1.1620189;213.42343
2008;5;17;6;2.2456422;306.27878
2008;5;17;12;1.0288041;29.80606
2008;5;17;18;1.0749996;183.01065
2008;5;18;0;3.5123606;323.32718
2008;5;18;6;4.830831;333.04803
2008;5;18;12;3.3613372;336.04343
2008;5;18;18;1.2640374;306.54892
2008;5;19;0;5.199792;321.53345
2008;5;19;6;6.251769;342.66992
2008;5;19;12;0.6244742;64.914734
2008;5;19;18;5.506338;169.01813
2008;5;20;0;5.6183553;189.01901
2008;5;20;6;3.2478273;200.88834
2008;5;20;12;2.482883;159.73206
2008;5;20;18;4.0655284;168.59299
