Year;Month;Day;Hour(utc);301;365
2008;5;1;0;4.1900535;317.5085
2008;5;1;6;7.5320034;320.62408
2008;5;1;12;9.483403;326.35995
2008;5;1;18;10.459689;326.04736
2008;5;2;0;11.465237;324.27408
2008;5;2;6;10.949278;348.07452
2008;5;2;12;9.81553;4.200226
2008;5;2;18;6.0275536;41.458344
2008;5;3;0;6.5114975;38.01361
2008;5;3;6;4.9688725;35.599457
2008;5;3;12;4.0145164;42.601685
2008;5;3;18;1.9396718;47.58612
2008;5;4;0;2.6486187;21.649872
2008;5;4;6;4.331475;7.555786
2008;5;4;12;5.3270445;3.379364
2008;5;4;18;6.2000284;5.0967712
2008;5;5;0;8.3249235;20.048523
2008;5;5;6;8.620903;31.069489
2008;5;5;12;5.4489183;32.815155
2008;5;5;18;3.7181275;11.539642
2008;5;6;0;4.609414;9.710419
2008;5;6;6;4.922721;352.74884
2008;5;6;12;4.69181;341.63055
2008;5;6;18;6.5632577;0.1251831
2008;5;7;0;8.25639;12.829773
2008;5;7;6;6.7300806;5.4530334
2008;5;7;12;5.8858933;6.067688
2008;5;7;18;4.932733;1.4129639
2008;5;8;0;5.4997263;351.7297
2008;5;8;6;2.9585087;339.22913
2008;5;8;12;3.7682965;227.75487
2008;5;8;18;4.325993;245.50227
2008;5;9;0;5.7786694;315.66336
2008;5;9;6;5.721609;330.08173
2008;5;9;12;6.3181667;354.692
2008;5;9;18;5.294097;5.4091187
2008;5;10;0;7.6459694;33.473206
2008;5;10;6;7.0026746;41.562866
2008;5;10;12;4.9878554;39.12915
2008;5;10;18;4.3568935;35.140686
2008;5;11;0;4.8199487;51.375977
2008;5;11;6;5.6238337;67.429016
2008;5;11;12;7.3333673;107.062195
2008;5;11;18;6.7417808;121.97952
2008;5;12;0;3.393203;137.6253
2008;5;12;6;3.283722;147.30185
2008;5;12;12;3.9835236;130.57588
2008;5;12;18;4.9132576;144.09723
2008;5;13;0;5.0786867;135.39284
2008;5;13;6;5.229437;150.46437
2008;5;13;12;5.423873;153.88486
2008;5;13;18;5.238146;157.72592
2008;5;14;0;2.1851327;160.03325
2008;5;14;6;1.9944535;37.883728
2008;5;14;12;2.941981;60.058167
2008;5;14;18;1.1270914;42.35083
2008;5;15;0;1.6832154;340.85577
2008;5;15;6;1.6885315;73.71063
2008;5;15;12;3.2907207;120.22981
2008;5;15;18;5.0659056;181.897
2008;5;16;0;3.4610531;277.12735
2008;5;16;6;4.1773953;310.71594
2008;5;16;12;5.5147176;336.07306
2008;5;16;18;1.2793274;358.1266
2008;5;17;0;7.350297;337.83856
2008;5;17;6;6.73669;333.17343
2008;5;17;12;6.2405314;356.46146
2008;5;17;18;4.5044217;354.40692
2008;5;18;0;4.666497;340.47125
2008;5;18;6;3.9986224;339.23154
2008;5;18;12;4.618574;322.60565
2008;5;18;18;5.6227694;303.0374
2008;5;19;0;6.048777;315.97827
2008;5;19;6;4.4473467;307.9886
2008;5;19;12;3.7391582;283.18527
2008;5;19;18;3.9376333;251.0023
2008;5;20;0;7.061792;273.26773
2008;5;20;6;6.6162724;282.3983
2008;5;20;12;6.178977;281.2494
2008;5;20;18;6.1421065;284.01324
2008;5;21;0;4.364303;301.2185
2008;5;21;6;0.81296474;249.61412
2008;5;21;12;4.9829893;213.13304
2008;5;21;18;4.790723;249.43983
2008;5;22;0;2.810932;275.32147
2008;5;22;6;4.9548955;338.33963
2008;5;22;12;4.0353084;60.194275
2008;5;22;18;4.12745;32.375305
2008;5;23;0;7.977471;10.517792
2008;5;23;6;6.3101087;13.349304
2008;5;23;12;3.8424692;336.73984
2008;5;23;18;1.8490436;210.64314
2008;5;24;0;2.511432;182.53604
2008;5;24;6;3.359351;130.64062
2008;5;24;12;4.5423703;150.35187
2008;5;24;18;3.1060042;151.34299
2008;5;25;0;4.672813;116.5005
2008;5;25;6;6.088142;122.15082
