Year;Month;Day;Hour(utc);301;365
1975;6;5;18;1.4169424;253.6062
1975;6;6;0;0.80357;73.34015
1975;6;6;6;5.1988;134.85161
1975;6;6;12;5.78158;132.06572
1975;6;6;18;3.3326356;155.18285
1975;6;7;0;0.37071046;129.25116
1975;6;7;6;0.068044;337.55927
1975;6;7;12;1.631749;6.7111206
1975;6;7;18;2.8337233;104.06877
1975;6;8;0;7.4170136;140.76306
1975;6;8;6;8.860268;157.96173
1975;6;8;12;7.7258773;150.19467
1975;6;8;18;8.255222;144.88531
1975;6;9;0;9.616136;132.94159
1975;6;9;6;11.502487;128.74268
1975;6;9;12;12.737179;136.50835
1975;6;9;18;12.522023;137.5459
1975;6;10;0;12.149508;134.36012
1975;6;10;6;9.4423065;138.25803
1975;6;10;12;8.271151;132.19092
1975;6;10;18;5.483261;132.82259
1975;6;11;0;6.927313;141.11218
1975;6;11;6;8.10773;135.85197
1975;6;11;12;7.3446126;161.18982
1975;6;11;18;5.4732666;196.5438
1975;6;12;0;2.8337352;172.12376
1975;6;12;6;5.3647676;139.9133
1975;6;12;12;6.621472;151.31091
1975;6;12;18;4.608893;174.3706
1975;6;13;0;2.5167732;131.58913
1975;6;13;6;1.9810348;148.2291
1975;6;13;12;3.609573;315.68903
1975;6;13;18;7.9344773;317.13736
1975;6;14;0;6.8610306;330.29114
1975;6;14;6;5.2642083;344.66864
1975;6;14;12;5.775705;355.8857
1975;6;14;18;6.803941;4.411072
1975;6;15;0;3.9985292;29.217224
1975;6;15;6;2.226252;95.194595
1975;6;15;12;4.2556796;129.50627
1975;6;15;18;1.2829963;201.68155
1975;6;16;0;1.6679709;35.190186
1975;6;16;6;0.20241429;113.15015
1975;6;16;12;3.9332952;346.85922
1975;6;16;18;5.129776;1.5546875
1975;6;17;0;3.8117106;38.240967
1975;6;17;6;2.1140404;66.06119
1975;6;17;12;0.45581433;15.85318
1975;6;17;18;2.07202;286.22
1975;6;18;0;4.860769;305.01184
1975;6;18;6;2.672442;252.3624
1975;6;18;12;2.8421915;160.13934
1975;6;18;18;2.6558917;190.95535
1975;6;19;0;7.264274;126.68202
1975;6;19;6;7.5727572;130.21057
1975;6;19;12;6.47966;119.563614
1975;6;19;18;3.6241875;113.11429
1975;6;20;0;4.9194508;131.72519
1975;6;20;6;5.9940023;143.79953
1975;6;20;12;4.9519205;147.54498
1975;6;20;18;4.7780757;166.33372
1975;6;21;0;6.192594;150.14304
1975;6;21;6;8.436725;144.09659
1975;6;21;12;10.941537;139.15222
1975;6;21;18;11.373876;137.28831
1975;6;22;0;9.401161;130.2111
1975;6;22;6;6.2396984;109.00534
1975;6;22;12;5.2237773;97.29411
1975;6;22;18;2.670955;89.482086
1975;6;23;0;3.702807;116.66406
1975;6;23;6;2.8793666;187.20215
1975;6;23;12;4.6410313;171.17987
1975;6;23;18;6.3440967;157.49933
1975;6;24;0;4.666147;189.3383
1975;6;24;6;5.032871;188.3411
1975;6;24;12;4.146266;170.27568
1975;6;24;18;3.928266;149.49619
1975;6;25;0;6.650089;141.23158
1975;6;25;6;6.6757045;168.21722
1975;6;25;12;6.755209;183.84314
1975;6;25;18;7.2875113;188.03397
1975;6;26;0;8.882916;168.13258
1975;6;26;6;10.694503;145.82584
1975;6;26;12;10.539768;133.27214
1975;6;26;18;13.181774;138.68954
1975;6;27;0;11.154317;146.62648
1975;6;27;6;7.2391872;152.463
1975;6;27;12;9.011956;153.235
1975;6;27;18;3.9634385;225.02016
1975;6;28;0;1.0371544;216.30962
1975;6;28;6;7.8779593;133.57167
1975;6;28;12;8.384546;135.27849
1975;6;28;18;3.3956342;166.50851
1975;6;29;0;2.5688753;328.44366
1975;6;29;6;5.6882;272.12094
1975;6;29;12;8.3152485;283.07477
1975;6;29;18;9.149502;310.26
1975;6;30;0;5.369008;309.4732
1975;6;30;6;4.4468694;284.91873
1975;6;30;12;8.314623;286.15332
1975;6;30;18;7.498239;309.1644
1975;7;1;0;3.7531006;293.5157
1975;7;1;6;4.1398897;180.4101
1975;7;1;12;6.4187074;204.39784
1975;7;1;18;7.328403;209.71742
1975;7;2;0;6.2802258;204.13977
1975;7;2;6;9.212107;215.12775
1975;7;2;12;13.124586;212.00812
1975;7;2;18;11.2208185;210.87929
1975;7;3;0;9.304418;206.73157
1975;7;3;6;11.940019;207.29451
1975;7;3;12;10.5398;212.30109
1975;7;3;18;6.9706044;219.46616
1975;7;4;0;5.7964616;201.03812
1975;7;4;6;5.6297894;194.1077
1975;7;4;12;5.341821;201.03436
1975;7;4;18;5.5631266;212.844
1975;7;5;0;3.6827438;232.07468
1975;7;5;6;4.932091;140.00447
1975;7;5;12;6.365473;132.33029
1975;7;5;18;5.530685;133.63568
1975;7;6;0;4.139077;270.34592
1975;7;6;6;3.3484035;255.57907
1975;7;6;12;2.009547;230.61691
1975;7;6;18;0.93324053;243.21368
1975;7;7;0;4.2286744;151.55676
1975;7;7;6;5.1170273;140.83934
1975;7;7;12;6.4975533;140.31555
1975;7;7;18;5.059727;138.00243
1975;7;8;0;6.7607336;148.30946
1975;7;8;6;4.872313;142.74117
1975;7;8;12;3.022442;166.57361
1975;7;8;18;0.9886049;228.29155
1975;7;9;0;4.6852145;129.80191
1975;7;9;6;5.475251;127.38864
1975;7;9;12;5.5689297;146.0101
1975;7;9;18;4.280478;169.63689
1975;7;10;0;4.794804;178.84723
1975;7;10;6;4.2432647;218.13019
1975;7;10;12;2.8717675;204.73282
1975;7;10;18;2.848192;199.40154
1975;7;11;0;3.29284;186.78868
1975;7;11;6;5.489352;175.67848
1975;7;11;12;6.083778;186.12914
1975;7;11;18;8.061971;194.29028
1975;7;12;0;9.3339615;229.50621
1975;7;12;6;6.0405416;234.46324
1975;7;12;12;4.9608927;238.06404
1975;7;12;18;4.066844;200.23813
1975;7;13;0;6.7919655;163.75244
1975;7;13;6;8.459629;140.96098
1975;7;13;12;10.342941;147.49054
1975;7;13;18;6.655477;179.6912
1975;7;14;0;5.357751;202.15146
1975;7;14;6;5.976906;171.22159
1975;7;14;12;8.115423;155.02423
1975;7;14;18;6.185575;209.68997
1975;7;15;0;4.735945;224.45781
1975;7;15;6;5.293713;166.04962
1975;7;15;12;7.7177463;163.17542
1975;7;15;18;14.430387;181.72842
1975;7;16;0;7.845315;211.01437
1975;7;16;6;4.320459;241.41418
1975;7;16;12;7.8827662;278.38403
1975;7;16;18;10.212562;286.31625
1975;7;17;0;6.139499;278.01355
1975;7;17;6;5.5145063;294.52417
1975;7;17;12;7.2214355;319.67847
1975;7;17;18;8.685758;339.1523
1975;7;18;0;5.928761;341.25406
1975;7;18;6;3.530802;348.1565
1975;7;18;12;2.4528143;329.78967
1975;7;18;18;2.2090013;205.60594
1975;7;19;0;5.188038;151.06122
1975;7;19;6;10.482574;148.54472
1975;7;19;12;13.379722;145.04987
1975;7;19;18;12.866578;144.18744
1975;7;20;0;17.77002;143.89664
1975;7;20;6;6.5039825;174.1186
1975;7;20;12;3.4612026;215.41718
1975;7;20;18;5.6162744;293.46057
1975;7;21;0;2.9642968;302.79385
1975;7;21;6;1.2656463;204.08652
1975;7;21;12;3.4317446;135.37636
1975;7;21;18;2.238323;225.33731
1975;7;22;0;4.501155;203.11032
1975;7;22;6;5.456936;176.21198
1975;7;22;12;5.3419065;175.57896
1975;7;22;18;4.5930696;243.3259
1975;7;23;0;3.1575685;143.07025
1975;7;23;6;5.549122;153.34645
1975;7;23;12;7.623723;143.4297
1975;7;23;18;6.649973;146.13367
1975;7;24;0;9.466082;139.37346
1975;7;24;6;11.661764;142.86194
1975;7;24;12;4.7114053;195.98846
1975;7;24;18;3.50409;280.7111
1975;7;25;0;0.9493553;245.2898
1975;7;25;6;2.9316332;138.49733
1975;7;25;12;1.059658;170.49298
1975;7;25;18;0.96383566;128.36383
1975;7;26;0;2.2496498;125.08479
1975;7;26;6;4.474295;127.437195
1975;7;26;12;4.203595;131.87659
1975;7;26;18;2.553555;161.31683
